Establishment Name,English Synonyms,Arabic Synonyms,Cleansing Synonyms,
مؤسسة عجمان للمواصلات العامة,There is  no Synonym available,There is  no Synonym available,,
مكتبة أرض الألوان,Color Land Stationary,قرطاسية ارض الألوان,,
مطعم قصر المنسف,There is  no Synonym available,There is  no Synonym available,,
ياس للضيافة ش .ذ.م.م,Yas Events,ياس للمناسبات ,ياس للضيافة ,
مطعم قصر الهند - فرع دلما مول,There is  no Synonym available,There is  no Synonym available,مطعم قصر الهند ,
مطعم ومطبخ قصر نجد (ذ.م.م),There is  no Synonym available,There is  no Synonym available,مطعم ومطبخ قصر نجد ,
مطعم قصر شهرزاد الايراني,There is  no Synonym available,There is  no Synonym available,,
منتجع شاطئ دبي مارين,Dubai Marine Beach Hotel,فندق شاطئ دبي مارين,,
مطعم كبابي,There is  no Synonym available,There is  no Synonym available,,
هيئة التامين - البدالة الرئيسي,There is  no Synonym available,There is  no Synonym available,هيئة التامين ,
مطعم كرمالك - فرع بني ياس,Kermalak Cafeteria,كافتيريا كرمالك,مطعم كرمالك ,
مطعم وكافيتيريا المبروك - خورفكان,There is  no Synonym available,There is  no Synonym available,مطعم وكافيتيريا المبروك خورفكان,
مطعم دانة,There is  no Synonym available,There is  no Synonym available,,
مطعم ومشاوي الصياد البحري الماهر - فرع بين الجسرين,There is  no Synonym available,There is  no Synonym available,مطعم ومشاوي الصياد البحري الماهر ,
مطعم كوخ الدجاج المقام,Chicken Hut Cafeteria Al Maqam ,كافتيريا كوخ الدجاج المقام,,
مطعم عبد الجبار,There is  no Synonym available,There is  no Synonym available,,
مطعم لوبستر لشوي الاسماك - بني ياس,There is  no Synonym available,There is  no Synonym available,مطعم لوبستر لشوي الاسماك بني ياس,
مكتبة ليوا,liwa Stationary,قرطاسية ليوا,,
مطعم ليالي الشام,There is  no Synonym available,There is  no Synonym available,,
مؤسسة الاخلاص لخدمات التنظيف,There is  no Synonym available,There is  no Synonym available,,
مطعم دبس ورمان - الشهامة الجديدة,There is  no Synonym available,There is  no Synonym available,مطعم دبس ورمان الشهامة الجديدة,
نادى الصحي بودى اند سول,Body And Soul Gym,بودي اند سول للياقة البدنية,,
مطعم محاشي على كيفك,There is  no Synonym available,There is  no Synonym available,,
مطعم بيت المحاشي,There is  no Synonym available,There is  no Synonym available,,
مطعم الياقوت,There is  no Synonym available,There is  no Synonym available,,
مطعم وكافيتريا مباشر,There is  no Synonym available,There is  no Synonym available,,
مطعم وادى النيل,Wady Al Neel Cafeteria ,كافتيريا وادي النيل,,
مطعم وكافيتيريا الورقاء عنتر (ذ.م.م),There is  no Synonym available,There is  no Synonym available,مطعم وكافيتيريا الورقاء عنتر ,
مطعم اليوار,There is  no Synonym available,There is  no Synonym available,,
مطعم وكافيتيريا كرم الشام - فرع شارع المطار,There is  no Synonym available,There is  no Synonym available,مطعم وكافيتيريا كرم الشام ,
مطعم وحلويات الحلاب (ش.ذ.م.م),There is  no Synonym available,There is  no Synonym available,مطعم وحلويات الحلاب ,
مطعم بحر الامارات - فرع عجمان,There is  no Synonym available,There is  no Synonym available,مطعم بحر الامارات ,
مطعم دنيا الشام,There is  no Synonym available,There is  no Synonym available,,
مطعم ومقهى ليالي بيروت - البدالة الرئيسية,There is  no Synonym available,There is  no Synonym available,مطعم ومقهى ليالي بيروت ,
مطعم وفطاطري ابن الديره,Ibn Al Deira Pastry - Ibn Al Deira Pastries ,فطائر ابن الديرة - فطاير ابن الديرة - معجنات ابن الديرة,,
مقهى وكافيتيريا 101,Restaurant 101 ,"كافتيريا واحد صفر واحد - كافتيريا ون زيرو ون - مطعم 101 -
مطعم واحد صفر واحد - كافيه 101 - كافيه واحد صفر واحد",مقهى وكافيتيريا,
مطعم رستم,Rustom Cafeteria,كافتيريا رستم,,
مطعم جازيبو (ش.ذ.م.م),There is  no Synonym available,There is  no Synonym available,مطعم جازيبو ,
مطعم انتيرناشيونال ايتاراب,There is  no Synonym available,There is  no Synonym available,,
منتجع ريكسوس باب البحر (ذ.م.م),Rixos Bab Albahr Hotel,فندق ريكسوس باب البحر,منتجع ريكسوس باب البحر ,
مطعم وكافتيريا التنور,There is  no Synonym available,There is  no Synonym available,,
مطعم النوف,Al Noaf Cafeteria,كافتيريا النوف,,
مطعم بيت المندي,There is  no Synonym available,There is  no Synonym available,,
مؤسسة النواعير للاضاءة,There is  no Synonym available,مؤسسة النواعير للانارة,,
مطعم ريف حضرموت للمندي والمظبي,There is  no Synonym available,There is  no Synonym available,,
مؤسسة مكتبة المكتبة,The Book Shop Trading Co ,شركة المكتبة التجارية ,,
مطعم انديان كاري,Curry Restaurant ,مطعم كاري,,
مطعم فرحات الاصلي,There is  no Synonym available,مطعم فرحات المصري,,
مطعم وكافتيريا محارة البحر,There is  no Synonym available,There is  no Synonym available,,
مطعم برجر تريب,There is  no Synonym available,There is  no Synonym available,,
مطعم وكافتيريا هوت برجر,There is  no Synonym available,There is  no Synonym available,,
مطعم وكافيتريا الباز,There is  no Synonym available,There is  no Synonym available,,
هيئة كهرباء ومياه دبي (ديوا),Dewa,كهرباء دبي,هيئة كهرباء ومياه دبي ديوا,
كافيتريا الخوير,Al Khowair Restaurant,مطعم الخوير,,
كافيتريا المصباح الاخضر,There is  no Synonym available,There is  no Synonym available,,
كافيتريا العزيمة,Al Azeema Restaurant,مطعم العزيمة,,
كريديه سيدتي الجميلة,My Fair Lady Shelaa & Abaya,ماي فير ليدي للعبايات,,
مطعم الشامي,There is  no Synonym available,There is  no Synonym available,,
كفتيريا الكوخ العربي,Arabian Hut Restaurant,مطعم الكوخ العربي,,
كافتيريا فلافل ابو نعيم - الظيت,Cafteria Flafel Neaim ,كافتيريا فلافل نعيم,كافتيريا فلافل ابو نعيم الظيت,
كلاريون لخدمات التنظيف,There is  no Synonym available,كلاريون للنظافة,,
مطعم افغان للكباب,There is  no Synonym available,There is  no Synonym available,,
كليفلاند كلينك أبوظبي - البدالة الرئيسية,Cleveland Hospital,مستشفى كليفلاند,كليفلاند كلينك أبوظبي ,
مطعم الديوان - البدالة,There is  no Synonym available,There is  no Synonym available,مطعم الديوان ,
كنافتي للحلويات,There is  no Synonym available,There is  no Synonym available,,
كافيتريا زهرة البنفسج,Zahrat Al Banafsaj Restaurant ,مطعم زهرة البنفسج,,
كافتيريا قلعة السور,There is  no Synonym available,There is  no Synonym available,,
مستشفى رأس الخيمة,RAK Hospital,مستشفى راك,,
لورين كافية,There is  no Synonym available,مقهى لورين - لورين كوفي شوب,,
كافيتريا العروبة,There is  no Synonym available,There is  no Synonym available,,
ماستر كيك,Mister Cake,مستر كيك,,
مطبخ وخدمات خالد حرية للمناسبات,Khalid Huria Restaurant,مطعم خالد حرية,,
مجوهرات طيبة -ذ م م,There is  no Synonym available,طيبة للذهب,مجوهرات طيبة ,
مطعم الاصيل,There is  no Synonym available,There is  no Synonym available,,
محلات أبو حليقة,There is  no Synonym available,محلات حليقة,,
مطعم البيت الدمشقي,There is  no Synonym available,There is  no Synonym available,,
مخابز واسواق السلطان - فرع الفلاح,Al Sultan Bakery,مخبز السلطان,مخابز واسواق السلطان ,
